string,title,year,citations,source_db,doi
Primaria,A Comparative Analysis of OCR Models for Key Information Extraction from Invoices,2025,2,IEEE,10.1109/aists66100.2025.11232602
Primaria,MC-OCR Challenge 2021: Towards Document Understanding for Unconstrained Mobile-Captured Vietnamese Receipts,2021,4,IEEE,10.1109/rivf51545.2021.9642126
Primaria,Design and Application of Electronic Invoice Information Systems using Rule-Based Model View Controller Framework with YOLOV8 Model,2025,1,IEEE,10.1109/ic3it66137.2025.11341366
Primaria,CyberChain: Enhancing Document Security with Blockchain and AI,2026,,IEEE,10.1109/ickecs70176.2026.11528085
Primaria,AI-Powered Document Analyzer,2026,,IEEE,10.1109/icoeca68095.2026.11485528
Primaria,AI-Powered Smart Document Classification for Automated Document Management Systems,2026,,IEEE,10.1109/icesic67389.2026.11496472
Primaria,A Framework for Providing Structured Invoice Document using Optimized Bert Enabled Deep Convolutional Neural Network Classifier,2023,1,IEEE,10.1109/i-smac58438.2023.10290498
Primaria,Spatial-Aware Financial Document Understanding: A Region-Segmented OCR-LLM Pipeline with Layout-Encoded Prompting for Key-Value Extraction,2026,,IEEE,10.1109/eit68936.2026.11670412
Primaria,AI Shredder: OCR and BERT-Driven Intelligent Document Redaction with Security Classification,2026,,IEEE,10.1109/esci68015.2026.11493218
Primaria,Cheque Information Processing and Validation using Deep Learning,2024,1,IEEE,10.1109/gccit63234.2024.10862133
Primaria,Smart Document Analysis and Validation System for Semi-Structured Data,2025,,IEEE,10.1109/icriset64803.2025.11252218
Primaria,FinanceGPT: Precision Financial Forecasting and Budgeting for Smarter Investment Strategies,2025,2,IEEE,10.1109/iccc64910.2025.11077182
Primaria,SmartSpend: A Hybrid OCR-LLM Framework for Automated Expense Analysis and Semantic Categorization,2026,,IEEE,10.1109/icndsa68777.2026.11652222
Primaria,Detection of Credit Card Fraud: An Analytical Accounting Perspective Using Classification Algorithms,2025,,IEEE,10.1109/ic-eeta66496.2025.11548301
Primaria,Design and Implementation of an AI-Driven Personal Finance Platform with Secure Asynchronous Architecture,2026,,IEEE,10.1109/iciscn67954.2026.11566195
Primaria,GoalCoin: AI-Driven Personal Budget Manager,2025,,IEEE,10.1109/slaai-icai68534.2025.11318459
Primaria,HS Code and Description Analyzer with RAG,2026,,IEEE,10.1109/icsft67370.2026.11566550
Primaria,Deep Learning Methods of Unstructured Data Integration and Analysis to Optimize Decision Making and Database,2025,,IEEE,10.1109/punecon67554.2025.11378885
Primaria,Navigating the Future of Document Handling: A Comprehensive Survey on Intelligent Document Processing,2026,0,Scopus,10.1007/978-981-96-7508-1_35
Primaria,A Novel Natural Language Processing Strategy to Improve Digital Accounting Classification Approach for Supplier Invoices ERP Transaction Process,2023,6,Scopus,10.1007/978-3-031-36805-9_38
Primaria,Smart Tax Filing Assistant: A Web-Based AI Tool for MSMEs,2026,0,Scopus,
Primaria,Safe Invoice Data Extraction: FPR-Constrained Validation with VLM Denoising,2026,0,Scopus,10.1145/3820755.3821480
Primaria,Extracting Key-Value Pairs in Business Documents,2023,0,Scopus,10.1007/978-3-031-41501-2_3
Primaria,AgroExpense-OCR: Vision Transformer-Based Optical Character Recognition for Agricultural Receipt Digitization,2026,0,Scopus,10.12720/jait.17.5.857-872
Primaria,Structured Data Extraction from OCR Invoices: A Comparative Analysis of Fine-Tuning Paradigms,2026,0,Scopus,10.1007/978-3-032-18716-1_15
Primaria,Research on Intelligent Image Feature Accurate Recognition Technology,2025,0,Scopus,10.1145/3759928.3759943
Primaria,Enhancing Invoice Recognition with LLM Embeddings in GAT Networks,2025,0,Scopus,
Primaria,Automated Multi-Page Document Classification and Information Extraction for Insurance Applications using Deep Learning Techniques,2024,5,Scopus,10.1109/icrito61523.2024.10522111
Primaria,"Layout-Aware Arabic Invoice Understanding with Product and Key-Value Extraction Using YOLOv11, AraBERT, and Active Learning",2026,0,Scopus,10.1177/17248035261480408
Primaria,Recognition of invoices from scanned documents,2017,10,Scopus,
Primaria,A Hybrid Mobile-Cloud Architecture for Intelligent Document Processing,2025,0,Scopus,10.1016/j.procs.2025.10.262
Secundaria,A Study on Handwritten Text Recognition and Post-OCR Error Correction Techniques,2026,,IEEE,10.1109/icoei68323.2026.11541382
Secundaria,OCR Error Correction: State-of-the-Art vs an NMT-based Approach,2018,19,IEEE,10.1109/das.2018.63
Secundaria,Omni font OCR error correction with effect on retrieval,2010,1,IEEE,10.1109/isda.2010.5687228
Secundaria,Thai OCR error correction using genetic algorithm,2002,2,IEEE,10.1109/cw.2002.1180870
Secundaria,myOCR: Optical Character Recognition for Myanmar language with Post-OCR Error Correction,2024,5,IEEE,10.1109/isai-nlp64410.2024.10799448
Secundaria,OCR Error Correction Using BiLSTM,2021,4,IEEE,10.1109/icecet52533.2021.9698712
Secundaria,Data Driven Approach to Brahmi OCR Error Correction and Sinhala Meaning Generation from Brahmi Character Array,2019,4,IEEE,10.1109/icter48817.2019.9023763
Secundaria,Progress of combining trigram and Winnow in Thai OCR error correction,1998,4,IEEE,10.1109/apccas.1998.743880
Secundaria,Dissimilarity Matrix: Bridging the Gap of Bangla OCR Error Correction Through a Novel Approach,2023,,IEEE,10.1109/sti59863.2023.10464527
Secundaria,Improving Book OCR by Adaptive Language and Image Models,2012,10,IEEE,10.1109/das.2012.45
Secundaria,Probabilistic Approach for Correction of Optically-Character-Recognized Strings Using Suffix Tree,2011,,IEEE,10.1109/ncvpripg.2011.24
Secundaria,Character-Level LSTM Encoder–Decoder with Luong Attention for Post-OCR Correction of Malayalam Palm-Leaf Manuscripts,2026,,IEEE,10.1109/conit69683.2026.11620636
Secundaria,Frances++: LLM-Based Semantic Enrichment and Spatial Graphs for Digitized Historical Collections,2025,1,IEEE,10.1109/escience65000.2025.00039
Secundaria,OCR Error Correction Using Character Correction and Feature-Based Word Classification,2016,54,IEEE,10.1109/das.2016.44
Secundaria,ICDAR2017 Competition on Post-OCR Text Correction,2017,36,IEEE,10.1109/icdar.2017.232
Secundaria,An Efficient Unsupervised Approach for OCR Error Correction of Vietnamese OCR Text,2023,25,IEEE,10.1109/access.2023.3283340
Secundaria,Deep Statistical Analysis of OCR Errors for Effective Post-OCR Processing,2019,49,IEEE,10.1109/jcdl.2019.00015
Secundaria,Improved Information Extraction by Leveraging Multi-Hypothesis OCR at Inference Time,2025,,IEEE,10.1109/iccvw69036.2025.00785
Secundaria,Real-Word Errors in Arabic Texts: A Better Algorithm for Detection and Correction,2019,26,IEEE,10.1109/taslp.2019.2918404
Secundaria,ICDAR 2019 Competition on Post-OCR Text Correction,2019,46,IEEE,10.1109/icdar.2019.00255
Secundaria,Lexicographical-Based Order for Post-OCR Correction of Named Entities,2017,5,IEEE,10.1109/icdar.2017.197
Secundaria,Geometry-Aware Post-OCR Processing and Configuration-Driven Key Information Extraction for Industrial Nameplates,2026,,IEEE,10.1109/cisat71030.2026.11682204
Secundaria,"myNRC-OCR: A Hybrid OCR Framework for Handwritten Myanmar NRCs Integrating YOLOv8, Tesseract LSTM, TrOCR, and Post-OCR Correction",2026,,IEEE,10.1109/jcsse68839.2026.11597059
Secundaria,Feedback Learning: Automating the Process of Correcting and Completing the Extracted Information,2019,12,IEEE,10.1109/icdarw.2019.40091
Secundaria,Enhanced Text Extraction from Low-Quality Legacy Documents Using TrOCR Assisted by Line Detection,2025,,IEEE,10.1109/wecon68556.2025.11414621
Secundaria,End-to-end entity extraction from OCRed texts using summarization models,2024,3,Scopus,10.1007/s00521-024-10422-9
Secundaria,Adaptive edit-distance and regression approach for Post-OCR text correction,2018,17,Scopus,10.1007/978-3-030-04257-8_29
Secundaria,Error correction for information retrieval of czech documents,2018,0,Scopus,10.5220/0006661906300634
Secundaria,Automatic Hindi OCR Error Correction Using MLM-BERT,2024,3,Scopus,10.18280/isi.290223
Secundaria,A Lightweight Approach to a Giga-Corpus of Historical Periodicals: The Story of a Slovenian Historical Newspaper Collection,2024,3,Scopus,
Secundaria,Incorporating spatial context for post-OCR in map images,2022,3,Scopus,10.1145/3557918.3565864
Secundaria,NEKO: Cross-Modality Post-Recognition Error Correction with Tasks-Guided Mixture-of-Experts Language Model,2025,1,Scopus,10.18653/v1/2025.acl-industry.17
Secundaria,Survey of Post-OCR Processing Approaches,2022,211,Scopus,10.1145/3453476
Secundaria,Analysis of Recent Deep Learning Techniques for Arabic Handwritten-Text OCR and Post-OCR Correction,2023,46,Scopus,10.3390/app13137568
Secundaria,Handwritten Code Recognition for Pen-and-Paper CS Education,2024,5,Scopus,10.1145/3657604.3662027
Secundaria,Cleaning Dirty Books: Post-OCR Processing for Previously Scanned Texts,2021,7,Scopus,10.18653/v1/2021.findings-emnlp.356
Secundaria,A Framework and Dataset for Contextual Post-OCR Correction,2026,0,Scopus,10.1145/3815575
Secundaria,Historical Ink: 19th Century Latin American Spanish Newspaper Corpus with LLM OCR Correction,2024,2,Scopus,
Secundaria,Word-Level Hindi OCR Correction Using Confusion-Aware Candidates and RoBERTa Re-ranking,2026,0,Scopus,10.1007/978-3-032-18480-1_70
Secundaria,Cost-Aware Human-LLM Collaboration for Post-OCR Corrections in Swiss Historical Newspapers,2026,0,Scopus,10.1145/3820755.3832797
Secundaria,Correcting noisy OCR: Context beats confusion,2014,55,Scopus,10.1145/2595188.2595200
Secundaria,OCR Cleaning of Scientific Texts with LLMs,2024,2,Scopus,10.1007/978-3-031-65794-8_4
Secundaria,Leveraging LLMs for Post-OCR Correction of Historical Newspapers,2024,40,Scopus,
Secundaria,"15th IAPR International Workshop on Document Analysis Systems, DAS 2022",2022,0,Scopus,
Secundaria,A filter based post-OCR accuracy boost system,2004,12,Scopus,10.1145/1031442.1031446
Secundaria,A Clustering-Based Social Media Analysis Framework for Disaster Management: A Case Study of the 2023 Kahramanmaraş/Türkiye Earthquakes,2026,0,Scopus,10.3390/app16115318
Secundaria,Reference-Based Post-OCR Processing with LLM for Precise Diacritic Text in Historical Document Recognition,2025,5,Scopus,10.1609/aaai.v39i27.35012
Secundaria,Information extraction framework for spanish notarized documents using end-to-end data,2025,0,Scopus,10.1007/s10506-025-09496-0
Secundaria,Raqim: A Hybrid Framework for Arabic OCR Correction Using Dictionary-Based Methods and Large Language Models,2026,0,Scopus,10.1016/j.procs.2026.01.058
Secundaria,Scrambled text: fine-tuning language models for OCR error correction using synthetic data,2025,2,Scopus,10.1007/s10032-025-00522-0
Secundaria,Transfer learning for historical corpora: An assessment on post-OCR correction and named entity recognition,2020,10,Scopus,
Secundaria,Labeling Document Images for E-Commence Products with Tree-Based Segment Re-organizing and Hierarchical Transformer,2021,0,Scopus,10.1007/978-3-030-86159-9_31
Secundaria,Effect of OCR error correction on Arabic retrieval,2008,13,Scopus,10.1007/s10791-008-9055-y
Secundaria,Post-OCR Correction with OpenAI’s GPT Models on Challenging English Prosody Texts,2024,11,Scopus,10.1145/3685650.3685669
Secundaria,Transformer-Based Neural Machine Translation for Post-OCR Error Correction in Cursive Text,2023,8,Scopus,10.1007/978-3-031-41501-2_6
Secundaria,Error correction vs. query garbling for Arabic OCR document retrieval,2007,5,Scopus,10.1145/1292591.1292596
Secundaria,Ensuring an Error-Free Transcription on a Full Engineering Tags Dataset Through Unsupervised Post-OCR Methods,2023,0,Scopus,10.1007/978-3-031-41734-4_6
Secundaria,A Benchmark and Dataset for Post-OCR text correction in Sanskrit,2022,6,Scopus,10.18653/v1/2022.findings-emnlp.418
Secundaria,"Legacy fossil records extraction, analysis and contextualization using Generative AI",2026,0,Scopus,10.3997/2214-4609.202639011
Secundaria,Using SMT for OCR Error Correction of historical texts,2016,63,Scopus,
Secundaria,PortOldBERT: Portuguese Historical Language Models,2026,0,Scopus,10.18653/v1/2026.eacl-long.123
Secundaria,Neural machine translation with bert for post-ocr error detection and correction,2020,58,Scopus,10.1145/3383583.3398605
Secundaria,Boosting Document Image Translation via Layout-Aware Semantic Paragraph Clustering,2026,0,Scopus,10.1007/978-981-95-5676-2_9
Secundaria,"14th International Symposium on Information and Communication Technology, SOICT 2025",2027,0,Scopus,
Secundaria,A method for text line aggregation based on the BERT structure,2024,1,Scopus,10.1117/12.3050039
Secundaria,Benchmarking post-processing techniques for offline Arabic text recognition system,2017,0,Scopus,10.1007/978-3-319-52941-7_27
Secundaria,Opportunities and Challenges of LLMs as Post-OCR Correctors,2025,1,Scopus,10.15439/2025f4697
